name,website,state,market
Altitude Safford Dispensary,https://altitudemenu.com,AZ,rec+medical
Bloom Dispensary,https://bloomdispensary.com,AZ,rec+medical
Dr Reeferalz,https://drreeferalz.com,AZ,rec+medical
Giving Tree Dispensary,https://givingtreedispensary.com,AZ,rec+medical
GreenPharms Dispensary,https://greenpharms.com,AZ,rec+medical
Hana Dispensary,https://hanadispensaries.com,AZ,rec+medical
JARS,https://az.jarscannabis.com,AZ,rec+medical
Nature's Secret CBD,https://cbdandoils.com,AZ,rec+medical
Nature's Wonder Dispensary,https://natureswonderaj.com,AZ,rec+medical
Noble Herb,https://nobleherbaz.com,AZ,rec+medical
Releaf 85624,https://dbloomtucson.com,AZ,rec+medical
Story Cannabis Dispensary Tolleson,https://storycannabis.com,AZ,rec+medical
The Flower Shop,https://theflowershopusa.com,AZ,rec+medical
The Prime Leaf,https://theprimeleaf.com,AZ,rec+medical
Valley of the Sun,https://votsmd.com,AZ,rec+medical
Zen Leaf,https://zenleafdispensaries.com,AZ,rec+medical
420lifestyles,https://420lifestyles.com,CA,rec
7 Stars Holistic Healing Center,https://7starshhc.com,CA,rec
Abatin Wellness Center,https://abatinsacramento.com,CA,rec
Airfield Supply Company,https://southbayhealingcenter.org,CA,rec
Apothecarium,https://apothecarium.com,CA,rec
Authentic 415,https://theauthenticcannabis.com,CA,rec
Barbary Coast,https://barbarycoastsf.org,CA,rec
Berkeley Patients Group,https://mybpg.com,CA,rec
Beyond Hello,https://beyond-hello.com,CA,rec
Bloom Room,https://bloomroom.com,CA,rec
Blüm Santa Ana Cannabis Dispensary,https://letsblum.com,CA,rec
California Caregivers Alliance (CCA) Silver Lake,https://cc2go.com,CA,rec
California Street Cannabis Co.,https://californiastreetcannabis.com,CA,rec
Cana Beverly Dispensary,https://canabeverly.com,CA,rec
Cannabis Cultures,https://cannabis-culturessf.com,CA,rec
Cannavine,https://trycannavine.com,CA,rec
Canopy Club,https://canopysb.com,CA,rec
CBCB,https://cbcbberkeley.com,CA,rec
Central Coast Wellness Center,https://centralcoastwellnesscenter.org,CA,rec
City Compassionate Caregivers,https://citycompassionatecaregivers.com,CA,rec
Coachella Valley Church,https://coachellavalley.church,CA,rec
Coastal,https://coastalcalifornia.com,CA,rec
Cookies,https://cookiesfresno.co,CA,rec
Death Valley Junction Fine Cannabis,https://dvjfinecannabis.com,CA,rec
Delta Health & Wellness,https://weedmaps.com,CA,rec
Doobie Nights,https://doobienights.com,CA,rec
Dr. Greenthumb's Fresno Cannabis Dispensary,https://doctorgreenthumbs.com,CA,rec
Eaze,https://eazedispensary.com,CA,rec
Elemental Wellness Center,https://elementalwellnesscenter.com,CA,rec
Embarc,https://goembarc.com,CA,rec
Erba,https://erbasawtelle.com,CA,rec
Fabulous Creations Inc.,https://fabulouscreations.net,CA,rec
Farmacy Berkeley,https://farmacyshop.com,CA,rec
FLOR - Union City Dispensary,https://florcalifornia.com,CA,rec
Golden State Greens,https://goldenstategreens.com,CA,rec
Grace Delivery,https://gracemmp.com,CA,rec
Grass Roots,https://grassrootssf.com,CA,rec
Grasshopper,https://ghbuds.com,CA,rec
Green City Collective,https://thegreencitycollective.com,CA,rec
Green Mammoth,https://greenmammoth.com,CA,rec
Green Thumb Cannabis and Carts,https://greenthumbcannabisandcarts.com,CA,rec
Greenwolf,https://greenwolfcannabis.com,CA,rec
Healthy Herbal Care,https://hhccollective.com,CA,rec
Hi-Fidelity,https://hifigreen.com,CA,rec
High Sierra June Lake,https://highsierrajunelake.com,CA,rec
Higher Level,https://tpg420.com,CA,rec
HPRC Eureka - Humboldt Patient Resource Center Cannabis Dispensary,https://hprcdispensary.com,CA,rec
Humboldt Premium,https://humboldtspremium.com,CA,rec
Infuzion CBD Sciences,https://infuzioncbd.com,CA,rec
Jade Leaf,https://jadeleafww.com,CA,rec
Juba,https://shopjuva.com,CA,rec
Kind Farma,https://kindfarma.com,CA,rec
Kind Peoples,https://kindpeoples.com,CA,rec
Kushfly,https://kushfly.com,CA,rec
LAX Cannabis Club,https://laxcc.com,CA,rec
Le Brea Collective,https://labreacollective.com,CA,rec
Legendary Organics,https://legendaryorganics.com,CA,rec
LitCo,https://litcostaylit.com,CA,rec
Lytt,https://its-lytt.com,CA,rec
Mainstage,https://davismainstage.com,CA,rec
Mammoth Holistics,https://mammothholistics.com,CA,rec
Medical Cannabis Caregivers,https://mccdirectory.org,CA,rec
MedMen,https://medmen.com,CA,rec
Megan's Organic Market,https://megansorganicmarket.com,CA,rec
MOTA Medicine of the Angels,https://mota.la,CA,rec
Nature Collective,https://leaveit2nature.com,CA,rec
One Plant,https://oneplant.life,CA,rec
Oregrown Chico,https://oregrown.com,CA,rec
OrganiCann,https://naturalcannabis.com,CA,rec
Pack's Cannabis Dispensary,https://packsca.com,CA,rec
Patient's Care Collective,https://berkeleypatientscare.com,CA,rec
Phenotopia Dispensary,https://gophenotopia.com,CA,rec
Project Cannabis,https://projcan.com,CA,rec
Purple Star MD,https://purplestarmd.com,CA,rec
Redwood Roots Inc.,https://redwoodrootsfamily.com,CA,rec
Riverside wellness,https://riversidewellness.net,CA,rec
Root'd in the 510,https://rootd510.com,CA,rec
Royal Greens Cannabis Dispensary,https://royalgreensla.com,CA,rec
Sage & Fire Dispensary,https://sageandfire.com,CA,rec
San Pancho Cannabis Club by OFL,https://oakfruitlandsf.com,CA,rec
SDRC - San Diego Recreational Cannabis,https://sandiegorecreationalcannabis.com,CA,rec
Seaweed SF,https://seaweedsf.com,CA,rec
Solful,https://solful.com,CA,rec
Sunset Pipeline,https://sunsetpipeline.com,CA,rec
Synergy,https://synergy-redding.com,CA,rec
Tahoe CBD,https://tahoecbd.com,CA,rec
Tahoe Wellness Center,https://tahoewellness.com,CA,rec
The Artist Tree,https://theartisttree.com,CA,rec
The Bloom Room,https://bloomroomsf.com,CA,rec
The Boulevard Dispensary,https://theblvddispensary.com,CA,rec
The Good People Farms,https://thegoodpeoplefarms.com,CA,rec
The Hazy Bulldog,https://hazybulldogdispensary.com,CA,rec
The Hook Dispensary,https://hookoutlet.com,CA,rec
The Marathon Collective,https://canafarmscanoga.com,CA,rec
The Medicine Woman,https://themedicinewoman.com,CA,rec
The Pottery,https://thepottery.la,CA,rec
The Reserve,https://reservesd.com,CA,rec
The Station,https://thestation559.com,CA,rec
The Syndicate,https://socalthesyndicate.com,CA,rec
Tioga Green,https://tiogagreen.com,CA,rec
Tracy Cannabis Collective,https://tracycannabisco.com,CA,rec
Tribal Nation Flower Company,https://tribalnationflowerco.com,CA,rec
Urbana,https://urbananow.com,CA,rec
Urbn Leaf,https://urbnleaf.com,CA,rec
Wellgreens Dispensary,https://wellgreens.store,CA,rec
Ajoya,https://ajoyalife.com,CO,rec+medical
